range,joint_1_jrc,joint_1_jcs,joint_1_phir,joint_2_jrc,joint_2_jcs,joint_2_phir
0,1.089597711,1.104827418,1.059744997,1.083485634,1.103372244,1.04191625
1,1.089940415,1.104873108,1.060651749,1.083948858,1.103448479,1.043165243
2,1.090283333,1.104918701,1.061559972,1.084412364,1.103524553,1.044416258
3,1.090626465,1.104964196,1.062469672,1.084876152,1.103600468,1.0456693
4,1.09096981,1.105009594,1.063380853,1.085340223,1.103676223,1.046924379
5,1.091313368,1.105054896,1.064293523,1.085804577,1.103751819,1.048181502
6,1.091657141,1.105100102,1.065207686,1.086269214,1.103827258,1.049440676
7,1.092001129,1.105145211,1.066123347,1.086734135,1.103902539,1.050701911
8,1.092345331,1.105190226,1.067040514,1.08719934,1.103977664,1.051965212
9,1.092689749,1.105235145,1.067959191,1.08766483,1.104052633,1.053230589
10,1.093034381,1.10527997,1.068879384,1.088130605,1.104127447,1.054498048
11,1.09337923,1.105324701,1.0698011,1.088596666,1.104202107,1.055767599
12,1.093724294,1.105369338,1.070724343,1.089063012,1.104276612,1.057039249
13,1.094069575,1.105413881,1.07164912,1.089529644,1.104350964,1.058313006
14,1.094415073,1.105458332,1.072575436,1.089996563,1.104425163,1.059588877
15,1.094760787,1.10550269,1.073503298,1.090463768,1.104499211,1.060866872
16,1.095106719,1.105546956,1.074432711,1.090931262,1.104573107,1.062146999
17,1.095452868,1.105591131,1.075363682,1.091399042,1.104646853,1.063429264
18,1.095799235,1.105635214,1.076296215,1.091867111,1.104720448,1.064713677
19,1.09614582,1.105679206,1.077230318,1.092335469,1.104793894,1.066000247
20,1.096492623,1.105723107,1.078165996,1.092804115,1.104867191,1.06728898
21,1.096839645,1.105766918,1.079103256,1.093273051,1.10494034,1.068579885
22,1.097186886,1.10581064,1.080042102,1.093742276,1.105013341,1.069872971
23,1.097534347,1.105854272,1.080982542,1.094211791,1.105086195,1.071168247
24,1.097882027,1.105897814,1.081924582,1.094681597,1.105158903,1.072465719
25,1.098229927,1.105941269,1.082868228,1.095151694,1.105231466,1.073765398
26,1.098578047,1.105984634,1.083813485,1.095622082,1.105303882,1.075067291
27,1.098926388,1.106027912,1.08476036,1.096092762,1.105376155,1.076371407
28,1.09927495,1.106071102,1.08570886,1.096563734,1.105448283,1.077677755
29,1.099623733,1.106114205,1.086658991,1.097034998,1.105520268,1.078986343
30,1.099972737,1.106157221,1.087610758,1.097506555,1.10559211,1.080297179
31,1.100321963,1.106200151,1.088564169,1.097978406,1.10566381,1.081610273
32,1.100671412,1.106242994,1.089519229,1.09845055,1.105735368,1.082925634
33,1.101021082,1.106285751,1.090475946,1.098922988,1.105806785,1.084243269
34,1.101370976,1.106328423,1.091434324,1.099395721,1.105878062,1.085563188
35,1.101721092,1.10637101,1.092394372,1.099868748,1.105949199,1.086885399
36,1.102071432,1.106413512,1.093356095,1.100342071,1.106020196,1.088209912
37,1.102421996,1.10645593,1.0943195,1.10081569,1.106091054,1.089536735
38,1.102772783,1.106498263,1.095284593,1.101289605,1.106161774,1.090865878
39,1.103123795,1.106540513,1.096251381,1.101763816,1.106232357,1.092197349
40,1.103475031,1.106582679,1.097219871,1.102238324,1.106302802,1.093531158
41,1.103826493,1.106624762,1.098190068,1.10271313,1.10637311,1.094867313
42,1.104178179,1.106666762,1.099161981,1.103188233,1.106443283,1.096205824
43,1.104530091,1.10670868,1.100135615,1.103663634,1.106513319,1.0975467
44,1.104882229,1.106750516,1.101110978,1.104139334,1.106583221,1.098889949
45,1.105234593,1.10679227,1.102088075,1.104615333,1.106652989,1.100235582
46,1.105587184,1.106833943,1.103066914,1.105091631,1.106722622,1.101583608
47,1.105940001,1.106875535,1.104047502,1.105568229,1.106792122,1.102934036
48,1.106293046,1.106917045,1.105029845,1.106045127,1.106861489,1.104286875
49,1.106646318,1.106958476,1.10601395,1.106522326,1.106930724,1.105642135
50,1.106999818,1.106999826,1.106999825,1.106999826,1.106999826,1.106999825
51,1.107353546,1.107041096,1.107987475,1.107477627,1.107068798,1.108359955
52,1.107707502,1.107082287,1.108976909,1.10795573,1.107137638,1.109722534
53,1.108061687,1.107123398,1.109968133,1.108434136,1.107206349,1.111087573
54,1.108416101,1.107164431,1.110961154,1.108912844,1.107274929,1.11245508
55,1.108770745,1.107205384,1.11195598,1.109391855,1.10734338,1.113825065
56,1.109125618,1.10724626,1.112952617,1.10987117,1.107411702,1.115197539
57,1.109480721,1.107287058,1.113951072,1.110350789,1.107479896,1.116572511
58,1.109836054,1.107327778,1.114951353,1.110830712,1.107547962,1.117949991
59,1.110191619,1.10736842,1.115953467,1.11131094,1.107615901,1.119329988
60,1.110547414,1.107408986,1.116957421,1.111791473,1.107683712,1.120712513
61,1.11090344,1.107449475,1.117963222,1.112272311,1.107751398,1.122097575
62,1.111259699,1.107489887,1.118970879,1.112753456,1.107818957,1.123485186
63,1.111616189,1.107530223,1.119980397,1.113234907,1.107886392,1.124875354
64,1.111972911,1.107570483,1.120991785,1.113716665,1.107953701,1.12626809
65,1.112329866,1.107610667,1.122005049,1.114198731,1.108020885,1.127663404
66,1.112687054,1.107650777,1.123020198,1.114681104,1.108087946,1.129061306
67,1.113044476,1.107690811,1.124037239,1.115163785,1.108154883,1.130461807
68,1.113402131,1.10773077,1.125056179,1.115646775,1.108221697,1.131864917
69,1.11376002,1.107770655,1.126077026,1.116130074,1.108288389,1.133270646
70,1.114118143,1.107810466,1.127099788,1.116613682,1.108354958,1.134679005
71,1.114476501,1.107850203,1.128124472,1.1170976,1.108421406,1.136090005
72,1.114835093,1.107889866,1.129151086,1.117581829,1.108487732,1.137503655
73,1.115193921,1.107929456,1.130179637,1.118066368,1.108553938,1.138919966
74,1.115552985,1.107968972,1.131210134,1.118551218,1.108620023,1.14033895
75,1.115912285,1.108008416,1.132242584,1.11903638,1.108685989,1.141760616
76,1.116271821,1.108047788,1.133276995,1.119521854,1.108751835,1.143184975
77,1.116631593,1.108087087,1.134313374,1.120007641,1.108817562,1.144612039
78,1.116991602,1.108126314,1.135351731,1.12049374,1.10888317,1.146041818
79,1.117351849,1.10816547,1.136392072,1.120980153,1.108948661,1.147474323
80,1.117712333,1.108204554,1.137434406,1.121466879,1.109014033,1.148909565
81,1.118073056,1.108243567,1.13847874,1.12195392,1.109079289,1.150347555
82,1.118434016,1.108282509,1.139525083,1.122441275,1.109144428,1.151788303
83,1.118795215,1.10832138,1.140573443,1.122928946,1.10920945,1.153231822
84,1.119156653,1.108360181,1.141623828,1.123416932,1.109274356,1.154678122
85,1.119518331,1.108398912,1.142676246,1.123905234,1.109339147,1.156127215
86,1.119880248,1.108437572,1.143730706,1.124393852,1.109403822,1.157579112
87,1.120242405,1.108476164,1.144787215,1.124882787,1.109468383,1.159033823
88,1.120604802,1.108514686,1.145845782,1.125372039,1.10953283,1.160491362
89,1.12096744,1.108553139,1.146906416,1.125861609,1.109597163,1.161951738
90,1.121330319,1.108591522,1.147969124,1.126351497,1.109661382,1.163414964
91,1.12169344,1.108629838,1.149033915,1.126841704,1.109725489,1.16488105
92,1.122056802,1.108668085,1.150100798,1.12733223,1.109789482,1.16635001
93,1.122420406,1.108706264,1.151169782,1.127823075,1.109853364,1.167821854
94,1.122784252,1.108744375,1.152240873,1.128314241,1.109917133,1.169296594
95,1.123148342,1.108782418,1.153314082,1.128805726,1.109980791,1.170774242
96,1.123512674,1.108820394,1.154389417,1.129297533,1.110044339,1.172254809
97,1.12387725,1.108858303,1.155466887,1.129789661,1.110107775,1.173738309
98,1.124242069,1.108896145,1.1565465,1.13028211,1.110171101,1.175224752
99,1.124607133,1.108933921,1.157628265,1.130774882,1.110234318,1.17671415
100,1.124972441,1.10897163,1.158712191,1.131267976,1.110297425,1.178206517
