fam,dip,dip_direction,jrc,jcs
1,60,302,3,196.3541117
1,59,302,3,176.0029714
2,49,195,4,28.93610022
2,50,195,4,42.43849753
1,64,297,3,133.8813244
1,61,295,4,176.0029714
1,62,292,3,157.761127
1,50,317,3,141.4099602
3,52,38,4,272.6465459
1,52,280,4,258.1309026
1,54,310,4,157.761127
2,30,210,4,157.761127
2,60,212,4,157.761127
3,45,60,4,18.67927432
1,80,300,4,91.28512193
1,59,320,4,207.3958204
1,61,285,7,244.3880691
1,60,270,5,207.3958204
2,62,190,13,52.82019498
1,57,302,13,176.0029714
1,65,287,3,231.376901
1,58,305,3,176.0029714
2,59,190,11,69.43844712
1,72,277,3,120.005182
1,59,295,9,133.8813244
2,60,198,11,91.28512193
1,58,275,1,126.7535116
1,65,275,5,101.8403774
2,52,182,7,101.8403774
1,58,292,1,141.4099602
1,59,296,3,231.376901
3,56,65,15,107.5672337
2,53,203,17,91.28512193
1,56,296,3,69.43844712
1,55,290,5,141.4099602
2,58,192,7,126.7535116
1,62,310,11,244.3880691
2,42,198,17,91.28512193
1,56,310,5,157.761127
2,50,210,9,157.761127
2,53,176,13,113.616132
3,42,62,7,166.6326112
1,79,282,7,141.4099602
2,57,183,7,133.8813244
3,39,20,13,133.8813244
1,80,282,9,101.8403774
2,50,187,3,81.82386692
1,78,278,11,96.41841768
,84,269,7,141.4099602
,36,333,5,166.6326112
1,81,269,9,120.005182
,38,335,5,133.8813244
2,53,181,13,113.616132
,29,335,5,157.761127
,59,155,15,91.28512193
1,68,281,13,69.43844712
,28,349,7,141.4099602
1,72,294,5,133.8813244
2,42,188,11,107.5672337
2,55,188,11,91.28512193
2,67,196,11,40.17908108
2,52,220,,10.23292992
2,48,215,,10.23292992
2,50,180,7,30.5632828
1,80,268,11,30.5632828
2,62,180,7,120.005182
1,70,300,5,141.4099602
1,57,300,9,176.0029714
1,55,292,3,219.0584448
2,58,210,7,157.761127
1,63,295,9,91.28512193
1,57,293,9,69.43844712
1,51,306,3,166.6326112
3,48,68,5,141.4099602
1,52,299,3,149.3619586
2,61,172,5,120.005182
2,58,186,13,91.28512193
1,61,262,7,149.3619586
3,87,58,5,185.9002612
2,60,198,13,91.28512193
1,68,295,5,166.6326112
2,63,198,11,101.8403774
1,56,290,3,91.28512193
2,60,198,7,91.28512193
3,70,60,5,58.92776913
2,56,200,7,91.28512193
3,42,74,7,176.0029714
1,54,290,3,157.761127
1,62,282,3,157.761127
1,52,300,3,157.761127
2,62,200,7,120.005182
2,66,198,5,91.28512193
2,54,202,11,69.43844712
1,54,286,3,176.0029714
,88,246,5,101.8403774
2,45,190,7,120.005182
3,82,78,3,141.4099602
2,36,168,3,65.74155919
,36,142,3,176.0029714
2,58,230,7,113.616132
1,70,290,3,81.82386692
1,56,310,5,101.8403774
2,50,200,5,81.82386692
2,49,185,5,166.6326112
3,41,40,7,91.28512193
1,53,295,7,91.28512193
2,53,181,3,141.4099602
3,39,31,5,157.761127
1,51,301,5,65.74155919
2,54,184,5,101.8403774
3,40,52,3,120.005182
1,69,294,9,69.43844712
